index,case-name,Porosity,Eff. Porosity,K(x)[D],K(y)[D],K(z)[D],M. time[s],S. Time[s],Res.
1053,1063.0,0.17981925899999998,0.176408327,2.8498,6.1615,2.7345,192.0,60.0,3e-06
1055,1065.0,0.22926548100000002,0.228196125,3.2275,7.9166,6.2259,240.0,75.0,3e-06
1056,1066.0,0.242815704,0.24046471,0.9990000000000001,7.185,4.1826,263.0,84.0,3e-06
1057,1067.0,0.228115259,0.226439964,0.8903,3.6408,2.9187,280.0,86.0,3e-06
1058,1068.0,0.242522667,0.240353137,2.1552,3.2625,5.132000000000001,270.0,87.0,3e-06
1059,1069.0,0.239783704,0.23886252,4.5313,4.0818,5.8982,272.0,85.0,3e-06
1060,1070.0,0.220553185,0.219687556,3.6311,2.6698,5.3709,264.0,83.0,3e-06
1061,1071.0,0.19381155600000002,0.192172499,1.88,0.8326,1.5915,263.0,84.0,3e-06
1062,1072.0,0.17565837,0.17070582199999998,1.0507,0.87,1.5472,257.0,74.0,3e-06
1063,1073.0,0.191792889,0.18971788899999997,1.6756,1.0695,1.4,259.0,78.0,3e-06
1064,1074.0,0.20782992600000003,0.206547585,2.924,1.8338,2.6923,281.0,81.0,3e-06
1065,1075.0,0.211729185,0.21015920800000001,3.0974,3.0492,2.9536,265.0,79.0,3e-06
1066,1076.0,0.235299852,0.230729952,3.0549,3.0659,3.5767,271.0,82.0,3e-06
1067,1077.0,0.232688593,0.23171179600000003,2.2355,3.2717,3.2166,268.0,82.0,3e-06
1068,1078.0,0.255487111,0.254062132,5.462000000000001,7.3757,6.2829,281.0,85.0,3e-06
1070,1080.0,0.29859377800000003,0.298958884,8.6903,10.4388,7.9127,375.0,96.0,3e-06
1071,1081.0,0.21120977800000001,0.20750823,3.5332,8.4434,8.2276,225.0,67.0,3e-06
1072,1082.0,0.226753481,0.226617365,4.5634,5.7778,8.7327,247.0,76.0,3e-06
1073,1083.0,0.204471407,0.20285116600000003,3.0232,2.5101,2.7906,251.0,77.0,3e-06
1074,1084.0,0.218600889,0.215537035,1.9339,1.2167,2.6922,276.0,82.0,3e-06
1075,1085.0,0.21376325899999998,0.212535716,1.3848,1.2162,2.2452,307.0,82.0,3e-06
1076,1086.0,0.244708741,0.24322949300000002,2.4745,3.4046,3.7832,290.0,80.0,3e-06
1077,1087.0,0.239216593,0.23830019100000002,3.2019,4.5141,4.1598,311.0,86.0,3e-06
1078,1088.0,0.219981333,0.218077555,2.1284,1.4879,3.2666,284.0,87.0,3e-06
1079,1089.0,0.192727407,0.19013963600000003,1.6087,1.1903,1.4166,273.0,78.0,3e-06
1080,1090.0,0.174749333,0.171673162,1.0039,1.5356,1.7285,262.0,74.0,3e-06
1081,1091.0,0.183985185,0.182878454,1.4701,1.6959,1.8293,268.0,73.0,3e-06
1082,1092.0,0.196630815,0.195701558,3.1796,2.1473,3.0179,295.0,94.0,3e-06
1083,1093.0,0.197250074,0.195784122,2.9474,2.6169,2.662,286.0,100.0,3e-06
1084,1094.0,0.207782222,0.20685999,6.3552,2.1652,3.6506,272.0,104.0,3e-06
1085,1095.0,0.19301155600000003,0.1919527,5.8707,3.6366,3.5854,275.0,92.0,3e-06
1086,1096.0,0.21108029600000003,0.209686138,4.3537,5.0115,4.5106,280.0,97.0,3e-06
1088,1098.0,0.23826340699999998,0.237175534,5.178999999999999,4.65,2.7337,296.0,79.0,3e-06
1090,1100.0,0.21696237,0.21680339,3.375,4.7235,4.1794,250.0,76.0,3e-06
1092,1102.0,0.20854429600000002,0.206780773,2.9567,2.3832,2.7642,269.0,67.0,3e-06
1093,1103.0,0.176041185,0.171868415,1.7687,1.9207,1.3632,238.0,63.0,3e-06
1094,1104.0,0.203823704,0.201486626,2.0771,2.4652,1.6878,253.0,67.0,3e-06
1095,1105.0,0.21003348100000002,0.20839635199999998,1.9194,2.8710000000000004,2.3538,259.0,73.0,3e-06
1096,1106.0,0.23649955600000003,0.235359123,2.3465,1.6549,2.7701,298.0,83.0,3e-06
1097,1107.0,0.210496593,0.209298979,1.7296,1.6159,2.0793,294.0,83.0,3e-06
1098,1108.0,0.198469037,0.197677518,2.2969999999999997,2.9446,1.889,267.0,80.0,3e-06
1099,1109.0,0.18078903699999999,0.17871454399999998,1.8023,1.4296,1.1727,255.0,74.0,3e-06
1100,1110.0,0.18978429600000002,0.18846046,2.1527,1.1595,2.0891,220.0,62.0,3e-06
1101,1111.0,0.21569244399999998,0.214398988,2.5702,3.3191,2.8439,238.0,61.0,3e-06
1102,1112.0,0.23830044399999997,0.237889602,7.4056,4.3141,9.3289,241.0,63.0,3e-06
1103,1113.0,0.23195496300000001,0.230806937,6.7337,10.2364,9.2006,231.0,58.0,3e-06
1105,1115.0,0.23695851899999998,0.23702602600000003,2.7071,6.5901,3.7578,259.0,66.0,3e-06
1107,1117.0,0.21504770399999998,0.214480437,2.3903,3.8424,2.2619,201.0,56.0,3e-06
1109,1119.0,0.201114963,0.199967,2.6506,2.4618,3.6371,248.0,62.0,3e-06
1110,1120.0,0.192064593,0.19061047399999997,2.1329,2.1499,2.6405,267.0,62.0,3e-06
1111,1121.0,0.155491556,0.151704913,1.4394,1.3085,0.8149,226.0,57.0,3e-06
1112,1122.0,0.163993481,0.155797416,0.6625,1.855,1.2639,209.0,55.0,3e-06
